ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
GOOGL,20260102,316.9,322.5,310.33,315.15,,,,32009400.0,10087762214.63
GOOGL,20260105,317.66,319.02,314.63,316.54,315.15,1.39,0.441064,30195600.0,9558115482.02
GOOGL,20260106,316.4,320.94,311.78,314.34,316.54,-2.2,-0.695019,31212100.0,9811211399.7
GOOGL,20260107,314.36,326.15,314.19,321.98,314.34,7.64,2.430494,35104400.0,11302915097.67
GOOGL,20260108,328.97,330.32,321.5,325.44,321.98,3.46,1.074598,31896100.0,10380266861.87
GOOGL,20260109,327.09,330.83,325.8,328.57,325.44,3.13,0.961776,26214200.0,8613199886.0
GOOGL,20260112,325.8,334.04,325.0,331.86,328.57,3.29,1.001302,33923900.0,11257984957.07
GOOGL,20260113,334.95,340.49,333.62,335.97,331.86,4.11,1.238479,33517600.0,11260908112.92
GOOGL,20260114,335.06,336.52,330.48,335.84,335.97,-0.13,-0.038695,28525600.0,9580037399.54
GOOGL,20260115,337.65,337.69,330.74,332.78,335.84,-3.06,-0.911147,28442400.0,9465061837.28
GOOGL,20260116,334.41,334.65,327.7,330.0,332.78,-2.78,-0.835386,40341600.0,13312728000.0
GOOGL,20260120,320.87,327.73,320.43,322.0,330.0,-8.0,-2.424242,35361000.0,11386242000.0
GOOGL,20260121,320.92,332.48,319.35,328.38,322.0,6.38,1.981368,35386600.0,11620251880.79
GOOGL,20260122,334.45,335.15,328.75,330.54,328.38,2.16,0.657776,26253600.0,8677865168.33
GOOGL,20260123,332.49,333.69,327.45,327.93,330.54,-2.61,-0.789622,27280000.0,8945930200.2
GOOGL,20260126,327.81,335.84,327.0,333.26,327.93,5.33,1.625352,26042100.0,8678790500.32
GOOGL,20260127,335.37,337.91,333.48,334.55,333.26,1.29,0.387079,21636200.0,7238390445.89
GOOGL,20260128,336.06,337.54,331.94,336.01,334.55,1.46,0.436414,27434400.0,9218233011.91
GOOGL,20260129,340.3,342.29,326.54,338.25,336.01,2.24,0.666644,39785600.0,13457479200.0
GOOGL,20260130,340.0,340.0,332.29,338.0,338.25,-0.25,-0.07391,31024000.0,10486112000.0
GOOGL,20260202,336.22,344.83,335.63,343.69,338.0,5.69,1.683433,32006100.0,11000176587.14
GOOGL,20260203,347.34,349.0,337.47,339.71,343.69,-3.98,-1.158023,36506700.0,12401690745.05
GOOGL,20260204,342.96,343.31,328.52,333.04,339.71,-6.67,-1.963434,70618400.0,23518752539.43
GOOGL,20260205,312.22,332.69,306.46,331.25,333.04,-1.79,-0.537476,88205800.0,29218171250.0
GOOGL,20260206,327.18,330.38,319.92,322.86,331.25,-8.39,-2.532835,56380500.0,18203007404.11
GOOGL,20260209,320.93,327.7,317.26,324.32,322.86,1.46,0.452215,39640100.0,12856077522.33
GOOGL,20260210,320.97,321.67,314.61,318.58,324.32,-5.74,-1.769863,39170000.0,12478778074.04
GOOGL,20260211,318.97,321.06,309.66,310.96,318.58,-7.62,-2.391862,45406400.0,14119573756.01
GOOGL,20260212,312.09,316.24,307.2,309.0,310.96,-1.96,-0.630303,47761300.0,14758241700.0
GOOGL,20260213,307.73,308.63,303.71,305.72,309.0,-3.28,-1.061488,38499700.0,11770128331.0
GOOGL,20260217,300.04,304.44,296.25,302.02,305.72,-3.7,-1.210262,39247600.0,11853559720.81
GOOGL,20260218,302.09,305.38,301.25,303.33,302.02,1.31,0.433745,28482100.0,8639475010.55
GOOGL,20260219,301.82,305.47,300.04,302.85,303.33,-0.48,-0.158237,25834400.0,7823948197.68
GOOGL,20260220,304.32,316.5,303.9,314.98,302.85,12.13,4.005285,53210800.0,16760338368.59
GOOGL,20260223,319.05,319.52,309.87,311.49,314.98,-3.49,-1.108013,31423000.0,9787949963.13
GOOGL,20260224,310.52,312.27,305.93,310.9,311.49,-0.59,-0.189411,25615600.0,7963889883.65
GOOGL,20260225,312.06,313.64,309.44,312.9,310.9,2.0,0.643294,29963600.0,9375610257.12
GOOGL,20260226,312.64,313.14,302.35,307.38,312.9,-5.52,-1.764138,36431200.0,11198222433.89
GOOGL,20260227,304.14,312.37,303.8,311.76,307.38,4.38,1.424948,44640600.0,13917153891.94
GOOGL,20260302,303.23,308.49,301.3,306.52,311.76,-5.24,-1.680787,34790200.0,10663891721.78
GOOGL,20260303,298.59,303.94,296.71,303.58,306.52,-2.94,-0.959155,35497000.0,10776178783.36
GOOGL,20260304,302.89,305.47,300.75,303.13,303.58,-0.45,-0.148225,29536200.0,8953308450.22
GOOGL,20260305,303.04,303.3,297.99,300.88,303.13,-2.25,-0.742256,35752300.0,10757152198.57
GOOGL,20260306,296.09,300.53,295.18,298.52,300.88,-2.36,-0.784371,25576900.0,7635215907.0
GOOGL,20260309,294.36,306.8,294.08,306.36,298.52,7.84,2.626289,29312100.0,8980054526.62
GOOGL,20260310,306.17,309.51,305.57,307.04,306.36,0.68,0.221969,23239700.0,7135517686.58
GOOGL,20260311,306.75,311.42,305.92,308.7,307.04,1.66,0.540647,24125700.0,7447603884.5
GOOGL,20260312,306.82,308.94,301.03,303.55,308.7,-5.15,-1.668294,24928300.0,7566985160.7
GOOGL,20260313,307.01,307.69,300.44,302.28,303.55,-1.27,-0.418379,23693100.0,7161950239.08
GOOGL,20260316,304.35,306.49,303.02,305.56,302.28,3.28,1.085086,23519700.0,7186679474.58
GOOGL,20260317,305.86,311.42,305.5,310.92,305.56,5.36,1.754162,21955200.0,6826311078.81
GOOGL,20260318,309.27,312.47,306.93,307.69,310.92,-3.23,-1.038856,20009800.0,6156815410.85
GOOGL,20260319,304.01,308.06,302.35,307.13,307.69,-0.56,-0.182001,25075800.0,7701530576.44
GOOGL,20260320,305.46,306.0,298.27,301.0,307.13,-6.13,-1.995899,44364100.0,13353594100.0
GOOGL,20260323,302.11,305.98,300.93,302.06,301.0,1.06,0.352159,29326900.0,8858483342.4
GOOGL,20260324,299.2,299.92,290.33,290.44,302.06,-11.62,-3.846916,36864300.0,10706867382.0
GOOGL,20260325,293.44,296.0,289.24,290.93,290.44,0.49,0.168706,29460700.0,8571001235.22
GOOGL,20260326,287.91,287.95,278.5,280.92,290.93,-10.01,-3.440683,39080600.0,10978522676.76
GOOGL,20260327,277.28,279.37,273.95,274.34,280.92,-6.58,-2.34231,35890600.0,9846227072.56
GOOGL,20260330,276.42,277.09,272.11,273.5,274.34,-0.84,-0.306188,35141200.0,9611118200.0
GOOGL,20260331,278.04,288.08,277.09,287.56,273.5,14.06,5.140767,43875400.0,12616809916.88
GOOGL,20260401,290.84,300.52,290.41,297.39,287.56,9.83,3.418423,37684500.0,11206994007.02
GOOGL,20260402,290.69,298.08,289.45,295.77,297.39,-1.62,-0.544748,21666500.0,6408300466.96
GOOGL,20260406,295.87,300.62,295.18,299.99,295.77,4.22,1.426785,16945500.0,5083480379.52
GOOGL,20260407,302.73,305.63,297.72,305.46,299.99,5.47,1.823395,23205400.0,7088321285.71
GOOGL,20260408,320.45,322.08,315.02,317.32,305.46,11.86,3.882674,33547100.0,10645166017.71
GOOGL,20260409,315.91,319.54,311.06,318.49,317.32,1.17,0.368708,23739200.0,7560697576.17
GOOGL,20260410,320.02,321.83,316.32,317.24,318.49,-1.25,-0.392477,19152600.0,6075970636.96
GOOGL,20260413,317.14,321.63,315.47,321.31,317.24,4.07,1.282943,18866400.0,6061962937.94
GOOGL,20260414,324.79,333.29,323.75,332.91,321.31,11.6,3.610223,27721400.0,9228731375.52
GOOGL,20260415,332.89,337.48,330.9,337.12,332.91,4.21,1.264603,24918800.0,8400625734.33
GOOGL,20260416,338.75,339.88,334.52,336.02,337.12,-1.1,-0.326295,20541500.0,6902354604.32
GOOGL,20260417,337.65,342.32,336.24,341.68,336.02,5.66,1.684425,25581900.0,8740823404.63
GOOGL,20260420,340.76,341.4,336.61,337.42,341.68,-4.26,-1.246775,18784200.0,6338165016.23
GOOGL,20260421,337.69,339.34,331.35,332.29,337.42,-5.13,-1.520362,23123800.0,7683807699.59
GOOGL,20260422,337.02,339.82,335.17,339.32,332.29,7.03,2.115621,20293000.0,6885820908.63
GOOGL,20260423,341.18,341.96,336.18,338.89,339.32,-0.43,-0.126722,18650300.0,6320400440.2
GOOGL,20260424,338.73,345.27,335.39,344.4,338.89,5.51,1.62589,26426100.0,9101148678.71
GOOGL,20260427,345.98,353.18,342.73,350.34,344.4,5.94,1.724739,28576900.0,10011631041.35
GOOGL,20260428,348.55,352.42,346.12,349.78,350.34,-0.56,-0.159844,27824100.0,9732313664.04
GOOGL,20260429,347.57,355.79,344.21,349.94,349.78,0.16,0.045744,35376300.0,12379582508.37
GOOGL,20260430,374.07,385.84,365.82,384.8,349.94,34.86,9.961703,72040000.0,27720991120.61
GOOGL,20260501,381.63,386.76,379.05,385.69,384.8,0.89,0.231293,30105200.0,11611274661.5
GOOGL,20260504,385.63,387.38,379.79,383.25,385.69,-2.44,-0.632633,26298600.0,10078938450.0
GOOGL,20260505,386.23,392.82,384.02,388.43,383.25,5.18,1.351596,23878600.0,9275164423.11
GOOGL,20260506,394.25,399.85,392.76,398.04,388.43,9.61,2.474066,31308500.0,12462035607.53
GOOGL,20260507,399.92,400.1,392.68,397.99,398.04,-0.05,-0.012566,24433500.0,9724288426.39
GOOGL,20260508,397.0,402.0,396.36,400.8,397.99,2.81,0.706047,21461800.0,8601889178.02
GOOGL,20260511,393.65,397.44,388.47,388.64,400.8,-12.16,-3.033926,30753700.0,11952118418.49
GOOGL,20260512,387.34,388.52,382.77,387.35,388.64,-1.29,-0.331929,26017500.0,10077878783.8
GOOGL,20260513,385.6,403.7,385.0,402.62,387.35,15.27,3.942168,28144600.0,11331578714.58
GOOGL,20260514,397.28,402.93,395.84,401.07,402.62,-1.55,-0.384975,21136700.0,8477296423.81
GOOGL,20260515,396.32,399.54,393.18,396.78,401.07,-4.29,-1.069641,20309700.0,8058482741.21
GOOGL,20260518,395.69,408.61,394.53,396.94,396.78,0.16,0.040326,26837200.0,10652758233.52
GOOGL,20260519,396.96,397.15,386.11,387.66,396.94,-9.28,-2.337884,39545700.0,15330286206.82
GOOGL,20260520,387.7,393.86,382.9,388.91,387.66,1.25,0.322448,31744400.0,12345714720.25
GOOGL,20260521,385.7,392.5,383.02,387.66,388.91,-1.25,-0.321411,24852800.0,9634436539.01
GOOGL,20260522,387.35,388.74,381.77,382.97,387.66,-4.69,-1.209824,20442100.0,7828711061.95
GOOGL,20260526,384.51,389.26,382.6,388.88,382.97,5.91,1.543203,27747400.0,10790409047.49
GOOGL,20260527,386.67,393.88,385.9,388.83,388.88,-0.05,-0.012862,23087300.0,8977034548.99
GOOGL,20260528,388.0,391.87,385.16,390.13,388.83,1.3,0.334341,24357500.0,9502591593.93
GOOGL,20260529,385.24,385.24,378.46,380.34,390.13,-9.79,-2.509422,44415800.0,16893105209.34
GOOGL,20260601,376.52,378.56,373.52,376.37,380.34,-3.97,-1.043803,28672100.0,10791318137.0
GOOGL,20260602,366.59,373.54,358.44,361.85,376.37,-14.52,-3.857903,50412300.0,18241691062.69
GOOGL,20260603,362.03,366.45,358.08,358.99,361.85,-2.86,-0.790387,55441600.0,19902979442.58
GOOGL,20260604,358.9,373.25,358.21,372.19,358.99,13.2,3.676986,44055500.0,16397016652.56
GOOGL,20260605,366.34,372.08,364.12,368.53,372.19,-3.66,-0.98337,37471200.0,13809261290.26
GOOGL,20260608,365.18,366.2,360.53,363.31,368.53,-5.22,-1.416439,27942500.0,10151789606.78
GOOGL,20260609,367.09,372.08,357.3,364.26,363.31,0.95,0.261488,29535100.0,10758455814.43
GOOGL,20260610,363.19,368.56,355.2,356.38,364.26,-7.88,-2.163291,32357100.0,11531423455.99
GOOGL,20260611,355.93,358.8,346.36,357.77,356.38,1.39,0.390029,35538200.0,12714501423.57
GOOGL,20260612,362.62,366.57,354.94,359.68,357.77,1.91,0.533864,24704600.0,8885750347.06
GOOGL,20260615,367.93,372.99,366.55,369.35,359.68,9.67,2.688505,27727500.0,10241152294.24
GOOGL,20260616,369.6,376.0,367.06,373.25,369.35,3.9,1.055907,24876100.0,9285004325.0
GOOGL,20260617,369.13,372.33,362.02,363.79,373.25,-9.46,-2.534492,24543600.0,8928716453.72
GOOGL,20260618,365.75,369.48,358.67,368.03,363.79,4.24,1.165505,44470100.0,16366330848.72
GOOGL,20260622,357.95,358.92,341.72,349.68,368.03,-18.35,-4.986008,52814800.0,18468278877.17
GOOGL,20260623,340.69,349.29,340.2,346.13,349.68,-3.55,-1.01521,34007700.0,11771085367.05
GOOGL,20260624,349.04,353.48,341.93,345.29,346.13,-0.84,-0.242682,44997300.0,15537118101.5
GOOGL,20260625,336.73,345.57,335.84,343.71,345.29,-1.58,-0.457591,44491400.0,15292138713.82
GOOGL,20260626,342.55,346.36,330.2,337.39,343.71,-6.32,-1.838753,114706300.0,38700760237.27
GOOGL,20260629,341.83,354.35,340.67,353.65,337.39,16.26,4.819342,34213900.0,12099745526.17
GOOGL,20260630,353.87,358.62,350.4,357.37,353.65,3.72,1.051888,35237200.0,12592717991.94
GOOGL,20260701,358.37,362.97,356.43,361.21,357.37,3.84,1.074516,26736400.0,9657454815.54
GOOGL,20260702,359.48,364.21,353.42,359.91,361.21,-1.3,-0.359898,25974800.0,9348590363.12
GOOGL,20260706,361.55,367.93,357.38,366.46,359.91,6.5499999999999545,1.82,26915809.0,9806357275.79
GOOGL,20260707,369.07,373.16,365.5,367.03,366.46,0.5699999999999932,0.16,24045583.0,8870295821.7
GOOGL,20260708,364.76,367.84,358.02,361.92,367.03,-5.109999999999957,-1.39,22094770.0,7984654160.67
GOOGL,20260709,354.31,359.65,351.08,358.89,361.92,-3.0300000000000296,-0.84,24729094.0,8799892859.56
GOOGL,20260710,357.52,357.82,352.75,357.18,358.89,-1.7099999999999795,-0.48,18146145.0,6455810092.98
GOOGL,20260713,356.19,358.13,351.75,352.51,357.18,-4.670000000000016,-1.31,15901731.0,5637264615.49
GOOGL,20260714,351.2,360.16,351.09,359.51,352.51,7.0,1.99,18259356.0,6529850636.85
GOOGL,20260715,357.97,373.65,357.76,370.92,359.51,11.410000000000023,3.17,28284563.0,10451367213.78
GOOGL,20260716,373.06,375.27,352.3,354.46,370.92,-16.460000000000036,-4.44,41158465.0,14927168519.45
GOOGL,20260717,346.0,348.52,341.36,346.77,354.46,-7.689999999999998,-2.17,29959282.0,10359796882.54
GOOGL,20260720,350.88,359.68,350.52,351.99,346.77,,,24736645.0,8765776963.51
GOOGL,20260721,351.32,351.32,347.0,347.15,351.99,,,23369833.0,8148061239.34
GOOGL,20260722,348.16,349.94,341.73,342.09,347.15,,,39334141.0,13600355495.92
GOOGL,20260723,321.13,324.49,314.9,317.69,342.09,,,69419688.0,22155219146.13
GOOGL,20260724,318.42,324.18,317.32,319.74,317.69,,,31806555.0,10181118586.59
